loan_id,client_id,loan_amount,interest_rate,loan_date
1,98943,361186.19,9.76,2020-12-27
2,92872,387045.19,4.44,2023-02-28
3,49802,127634.47,3.98,2024-08-24
4,15940,418739.6,4.77,2022-03-08
5,96555,167691.25,5.67,2021-02-20
6,35695,364484.46,8.88,2020-11-29
7,69099,84799.07,7.11,2025-02-13
8,97689,50633.95,2.08,2023-05-27
9,86051,87095.31,6.79,2024-03-02
10,29356,24006.93,7.41,2023-03-25
11,36401,159250.13,4.55,2020-04-11
12,69970,396612.45,8.02,2023-07-08
13,99135,118826.81,3.35,2025-02-18
14,20170,181396.85,2.4,2025-01-25
15,23511,338860.26,3.31,2020-10-14
16,79325,174470.74,9.59,2024-11-07
17,73050,435383.36,8.76,2022-03-19
18,49330,278006.08,6.01,2023-08-20
19,45612,492652.07,8.09,2021-01-06
20,11891,424687.57,2.55,2022-03-25
21,85342,178646.03,5.23,2022-08-14
22,89610,66337.04,6.49,2023-07-03
23,45756,263148.95,2.55,2022-09-06
24,28660,445335.73,7.12,2024-09-21
25,41055,423594.81,2.2,2021-03-20
26,23212,2383.81,2.97,2020-06-03
27,58554,171862.64,8.34,2023-02-25
28,45538,348181.78,9.61,2022-07-07
29,47440,297245.92,7.57,2021-12-04
30,78457,301901.96,6.59,2020-04-02
31,29579,383712.28,2.67,2023-02-05
32,88431,343874.49,2.19,2023-10-26
33,34219,467194.83,2.42,2021-08-30
34,79806,467003.16,2.78,2025-01-26
35,13266,266946.2,8.29,2021-08-26
36,92159,81688.82,7.45,2023-05-28
37,6411,492996.92,2.56,2024-02-11
38,11795,461726.6,9.34,2021-05-18
39,35327,375962.04,8.96,2022-09-15
40,43497,494050.98,7.0,2022-09-11
41,56086,46272.66,2.82,2023-02-20
42,99673,127818.74,6.34,2020-11-30
43,37113,243393.44,7.03,2021-05-27
44,98207,54696.78,6.3,2024-09-29
45,12694,447068.24,9.99,2021-03-18
46,69163,200950.88,7.17,2024-11-28
47,48094,375474.09,6.12,2023-01-17
48,6612,137211.93,9.1,2024-03-27
49,4414,59099.59,8.0,2024-04-30
50,80166,356025.6,9.58,2024-11-11
51,9147,487894.14,4.75,2020-11-22
52,6689,230507.95,7.54,2021-12-15
53,51545,173424.86,6.33,2023-11-23
54,94460,176723.76,6.91,2023-06-27
55,79055,247635.12,6.56,2024-09-20
56,19260,479218.52,4.14,2022-01-27
57,59749,390863.97,4.57,2022-06-11
58,9973,459299.33,8.44,2021-08-14
59,29028,48150.22,2.34,2025-02-28
60,46061,72121.98,5.33,2021-11-16
61,88127,18025.28,2.84,2020-05-07
62,12682,237634.9,7.54,2024-01-24
63,40017,329341.63,8.92,2021-07-28
64,89613,267010.09,8.61,2020-04-06
65,19964,419980.49,8.6,2023-05-27
66,40574,283588.4,6.21,2024-02-29
67,89273,227253.21,7.95,2020-04-16
68,43858,147321.8,5.94,2024-11-20
69,36488,296124.15,2.04,2020-07-30
70,43061,38799.61,7.63,2023-12-12
71,83516,437102.23,9.15,2022-01-16
72,49813,483256.37,3.22,2024-08-05
73,69379,68052.51,4.12,2022-10-28
74,42795,380773.52,2.36,2022-03-10
75,1698,238896.42,4.69,2022-03-22
76,58279,110668.26,4.68,2022-07-04
77,14976,277960.84,4.88,2022-04-26
78,84606,336316.78,5.89,2020-05-22
79,64557,122961.48,4.56,2020-08-14
80,23446,159626.65,7.83,2021-09-23
81,23217,172743.94,8.55,2024-09-29
82,37707,65633.48,9.06,2021-12-21
83,86910,78201.32,3.76,2020-12-30
84,53245,232613.63,2.94,2023-11-19
85,80601,182687.23,7.85,2021-01-27
86,4186,107728.27,7.99,2023-10-07
87,64189,88821.82,9.34,2022-12-18
88,18932,177256.45,3.82,2021-11-14
89,48758,341173.02,4.96,2022-05-21
90,25994,310798.39,7.49,2021-09-06
91,22193,230330.69,5.56,2020-10-22
92,66498,320635.21,4.52,2020-09-09
93,36269,345476.52,6.88,2021-09-07
94,39541,493376.89,7.84,2021-07-22
95,95921,171260.32,3.02,2022-03-17
96,16947,346615.46,3.43,2022-10-08
97,15868,323226.69,4.84,2020-08-12
98,89845,466999.66,9.53,2024-03-28
99,73903,289259.5,8.43,2025-01-30
100,35915,468257.17,9.57,2022-09-11
101,83590,310155.58,5.5,2020-05-17
102,55279,290320.76,5.74,2023-06-18
103,32856,479569.12,4.97,2024-03-09
104,86486,440112.53,2.54,2021-10-13
105,20935,464148.45,2.29,2020-08-06
106,42268,382435.8,9.76,2023-09-30
107,92977,288271.59,4.77,2024-08-03
108,25695,449659.75,6.28,2020-11-18
109,3264,311754.67,9.63,2023-03-11
110,46446,462040.8,6.78,2024-06-10
111,74250,20464.67,7.36,2023-11-27
112,91153,498834.08,4.31,2023-07-11
113,91597,395473.83,5.29,2021-03-26
114,64996,35771.09,9.29,2022-03-16
115,53161,464439.55,2.03,2021-07-24
116,57517,11272.79,6.92,2022-11-25
117,50884,165948.54,8.04,2021-09-21
118,43304,53890.24,2.81,2021-02-04
119,6554,159174.97,3.09,2024-04-02
120,68304,496311.23,5.37,2024-11-10
121,85575,106864.93,5.57,2023-10-18
122,96960,304067.58,9.61,2020-09-02
123,77464,125963.23,8.27,2021-02-13
124,86035,360391.86,2.28,2022-08-21
125,40518,466427.12,3.52,2024-10-17
126,54685,305893.4,6.41,2023-11-18
127,70747,284929.59,8.52,2024-02-26
128,65276,197603.95,7.49,2022-11-05
129,97125,47984.72,5.94,2023-12-07
130,7950,128044.02,4.26,2021-02-19
131,29394,385640.74,9.09,2022-09-21
132,85550,57758.02,2.76,2024-10-25
133,93098,70841.41,5.82,2024-08-20
134,44254,440276.67,7.23,2021-05-20
135,14094,68862.4,6.19,2020-09-14
136,72465,252027.55,4.69,2021-08-21
137,58689,242425.38,5.89,2020-06-26
138,66452,375316.38,9.85,2022-10-10
139,21172,270096.25,9.56,2021-11-23
140,50365,149914.47,8.26,2024-01-15
141,64985,320069.75,9.19,2023-04-18
142,4755,143837.79,8.88,2020-06-22
143,40251,183345.81,6.83,2020-10-08
144,38961,424735.34,7.63,2022-01-31
145,33020,304346.32,8.09,2022-01-14
146,1566,76570.88,8.17,2024-11-12
147,62304,323173.21,7.06,2023-12-04
148,25805,374651.61,8.38,2020-11-06
149,2478,102275.06,3.69,2023-01-23
150,72148,398025.8,6.81,2022-04-20
151,86843,104872.35,4.88,2023-04-20
152,39694,383147.29,8.65,2021-04-25
153,53121,164934.49,8.82,2022-06-14
154,68551,223044.47,6.65,2024-01-02
155,85366,413803.54,4.96,2022-04-29
156,89014,71264.11,5.86,2023-04-11
157,52654,281953.84,2.19,2020-10-17
158,80770,372533.59,8.43,2021-01-21
159,2903,238356.77,6.25,2020-08-25
160,75931,183402.48,6.06,2023-09-19
161,8893,198352.7,2.36,2024-01-20
162,12044,74956.96,6.34,2021-05-14
163,57681,402907.52,9.63,2022-11-22
164,93986,116284.77,9.46,2021-06-26
165,57766,83597.22,9.68,2023-06-30
166,68940,417441.46,9.15,2024-06-07
167,81657,71462.01,3.6,2022-11-07
168,98913,134465.75,7.41,2021-10-22
169,54362,1665.09,8.43,2024-04-23
170,46189,10096.33,3.36,2020-09-21
171,88225,317375.5,6.43,2021-07-13
172,46839,437139.12,2.95,2023-11-16
173,3103,8683.66,9.01,2024-02-26
174,46755,157168.01,2.73,2020-04-04
175,53509,238573.42,8.48,2023-10-08
176,36693,164094.93,8.79,2023-10-15
177,9073,414503.01,4.94,2024-09-19
178,19341,84952.19,8.44,2022-01-20
179,77448,304623.97,5.85,2020-08-17
180,45427,294013.23,9.94,2021-10-06
181,28988,89460.76,7.73,2022-08-10
182,20350,226506.83,5.64,2023-02-28
183,29871,233472.85,9.62,2023-05-23
184,14866,373265.99,6.65,2024-09-18
185,67392,448415.3,5.46,2021-05-23
186,6486,483197.83,3.65,2020-06-27
